filename,label,item_id
P01_01_0.jpg,0,01
P01_02_0.jpg,0,02
P01_03_1.jpg,1,03
P01_04_1.jpg,1,04
P01_05_0.jpg,0,05
P01_06_0.jpg,0,06
P01_07_0.jpg,0,07
P01_08_0.jpg,0,08
P02_01_0.jpg,0,01
P02_02_1.jpg,1,02
P02_03_1.jpg,1,03
P02_04_1.jpg,1,04
P02_05_0.jpg,0,05
P02_06_0.jpg,0,06
P02_07_0.jpg,0,07
P02_08_0.jpg,0,08
P03_01_0.jpg,0,01
P03_02_0.jpg,0,02
P03_03_1.jpg,1,03
P03_04_1.jpg,1,04
P03_05_0.jpg,0,05
P03_06_0.jpg,0,06
P03_07_0.jpg,0,07
P03_08_0.jpg,0,08
P04_01_1.jpg,1,01
P04_02_1.jpg,1,02
P04_03_1.jpg,1,03
P04_04_1.jpg,1,04
P04_05_0.jpg,0,05
P04_06_0.jpg,0,06
P04_07_0.jpg,0,07
P04_08_0.jpg,0,08
P05_01_0.jpg,0,01
P05_02_0.jpg,0,02
P05_03_1.jpg,1,03
P05_04_1.jpg,1,04
P05_05_1.jpg,1,05
P05_06_0.jpg,0,06
P05_07_0.jpg,0,07
P05_08_0.jpg,0,08
P06_01_0.jpg,0,01
P06_02_0.jpg,0,02
P06_03_1.jpg,1,03
P06_04_1.jpg,1,04
P06_05_0.jpg,0,05
P06_06_0.jpg,0,06
P06_07_0.jpg,0,07
P06_08_0.jpg,0,08
P07_01_0.jpg,0,01
P07_02_0.jpg,0,02
P07_03_0.jpg,0,03
P07_04_0.jpg,0,04
P07_05_0.jpg,0,05
P07_06_0.jpg,0,06
P07_07_0.jpg,0,07
P07_08_1.jpg,1,08
P08_01_0.jpg,0,01
P08_02_0.jpg,0,02
P08_03_1.jpg,1,03
P08_04_1.jpg,1,04
P08_05_0.jpg,0,05
P08_06_0.jpg,0,06
P08_07_0.jpg,0,07
P08_08_0.jpg,0,08
P09_01_0.jpg,0,01
P09_02_0.jpg,0,02
P09_03_1.jpg,1,03
P09_04_1.jpg,1,04
P09_05_1.jpg,1,05
P09_06_0.jpg,0,06
P09_07_0.jpg,0,07
P09_08_0.jpg,0,08
P10_01_0.jpg,0,01
P10_02_1.jpg,1,02
P10_03_1.jpg,1,03
P10_04_1.jpg,1,04
P10_05_0.jpg,0,05
P10_06_0.jpg,0,06
P10_07_0.jpg,0,07
P10_08_0.jpg,0,08
P11_01_0.jpg,0,01
P11_02_0.jpg,0,02
P11_03_1.jpg,1,03
P11_04_1.jpg,1,04
P11_05_0.jpg,0,05
P11_06_0.jpg,0,06
P11_07_0.jpg,0,07
P11_08_0.jpg,0,08
P12_01_0.jpg,0,01
P12_02_0.jpg,0,02
P12_03_1.jpg,1,03
P12_04_1.jpg,1,04
P12_05_1.jpg,1,05
P12_06_0.jpg,0,06
P12_07_0.jpg,0,07
P12_08_0.jpg,0,08
P13_01_0.jpg,0,01
P13_02_0.jpg,0,02
P13_03_0.jpg,0,03
P13_04_0.jpg,0,04
P13_05_1.jpg,1,05
P13_06_0.jpg,0,06
P13_07_0.jpg,0,07
P13_08_0.jpg,0,08
P14_01_1.jpg,1,01
P14_02_1.jpg,1,02
P14_03_1.jpg,1,03
P14_04_1.jpg,1,04
P14_05_1.jpg,1,05
P14_06_0.jpg,0,06
P14_07_0.jpg,0,07
P14_08_0.jpg,0,08
P15_01_0.jpg,0,01
P15_02_0.jpg,0,02
P15_03_1.jpg,1,03
P15_04_0.jpg,0,04
P15_05_1.jpg,1,05
P15_06_0.jpg,0,06
P15_07_0.jpg,0,07
P15_08_0.jpg,0,08
P16_01_0.jpg,0,01
P16_02_0.jpg,0,02
P16_03_1.jpg,1,03
P16_04_1.jpg,1,04
P16_05_1.jpg,1,05
P16_06_0.jpg,0,06
P16_07_0.jpg,0,07
P16_08_0.jpg,0,08
P17_01_1.jpg,1,01
P17_02_1.jpg,1,02
P17_03_1.jpg,1,03
P17_04_1.jpg,1,04
P17_05_0.jpg,0,05
P17_06_0.jpg,0,06
P17_07_0.jpg,0,07
P17_08_0.jpg,0,08
P18_01_0.jpg,0,01
P18_02_1.jpg,1,02
P18_03_0.jpg,0,03
P18_04_0.jpg,0,04
P18_05_0.jpg,0,05
P18_06_0.jpg,0,06
P18_07_0.jpg,0,07
P18_08_0.jpg,0,08
P19_01_0.jpg,0,01
P19_02_0.jpg,0,02
P19_03_1.jpg,1,03
P19_04_1.jpg,1,04
P19_05_1.jpg,1,05
